2022/8/18 11:45: HTTP server online.
2022/8/19 8:16: 1028: 127.0.0.1: GET /static/dplayer/DPlayer.min.js
2022/8/19 8:16: 1028: 127.0.0.1: 200 OK
2022/8/19 8:16: 1168: 127.0.0.1: GET /client.js
2022/8/19 8:16: 1168: 127.0.0.1: 200 OK
2022/8/19 8:16: 1052: 127.0.0.1: GET /static/pcm-recorder.js
2022/8/19 8:16: 1052: 127.0.0.1: 200 OK
2022/8/19 8:16: 1172: 127.0.0.1: GET /static/socket.io.js/socket.io.js
2022/8/19 8:16: 1172: 127.0.0.1: 200 OK
2022/8/19 8:16: 1020: 127.0.0.1: GET /static/pcm-player.js
2022/8/19 8:16: 1020: 127.0.0.1: 200 OK
2022/8/19 8:16: 1084: 127.0.0.1: GET /static/dist/recorder-core.js
2022/8/19 8:16: 1084: 127.0.0.1: 200 OK
2022/8/19 8:16: 724: 127.0.0.1: GET /static/dist/engine/mp3.js
2022/8/19 8:16: 724: 127.0.0.1: 200 OK
2022/8/19 8:16: 1168: 127.0.0.1: GET /audio/notify.m4a
2022/8/19 8:16: 1168: 127.0.0.1: 206 OK
2022/8/19 8:16: 1196: 127.0.0.1: GET /static/layer/theme/default/layer.css?v=3.5.1
2022/8/19 8:16: 1196: 127.0.0.1: 200 OK
2022/8/19 8:16: 1004: 127.0.0.1: GET /e61d8459-ee9b-4e19-9875-cb6cfc7ec62a.woff
2022/8/19 8:16: 1004: 127.0.0.1: 200 OK
2022/8/19 8:16: 1008: 127.0.0.1: GET /favicon.ico
2022/8/19 8:16: 1008: 127.0.0.1: 200 OK
2022/8/20 8:10: HTTP server online.
2022/8/21 7:46: HTTP server online.
2022/8/21 11:22: 784: 127.0.0.1: GET /
2022/8/21 11:22: 784: 127.0.0.1: 401 Unauthorized
2022/8/21 11:22: 824: 127.0.0.1: GET /
2022/8/21 11:22: 824: 127.0.0.1: 200 OK
2022/8/21 11:22: 824: 127.0.0.1: GET /style.css
2022/8/21 11:22: 824: 127.0.0.1: 200 OK
2022/8/21 11:22: 1016: 127.0.0.1: GET /schemes/atelier-dune.css
2022/8/21 11:22: 1016: 127.0.0.1: 200 OK
2022/8/21 11:22: 828: 127.0.0.1: GET /vendor/katex/katex.min.css
2022/8/21 11:22: 828: 127.0.0.1: 200 OK
2022/8/21 11:22: 1040: 127.0.0.1: GET /vendor/katex/katex.min.js
2022/8/21 11:22: 1040: 127.0.0.1: 200 OK
2022/8/21 11:22: 824: 127.0.0.1: GET /vendor/hljs/styles/hybrid.min.css
2022/8/21 11:22: 824: 127.0.0.1: 200 OK
2022/8/21 11:22: 1016: 127.0.0.1: GET /vendor/remarkable-katex/remarkableKatex.min.js
2022/8/21 11:22: 1016: 127.0.0.1: 200 OK
2022/8/21 11:22: 1080: 127.0.0.1: GET /vendor/hljs/highlight.min.js
2022/8/21 11:22: 1080: 127.0.0.1: 200 OK
2022/8/21 11:22: 828: 127.0.0.1: GET /static/auth.js
2022/8/21 11:22: 828: 127.0.0.1: 200 OK
2022/8/21 11:22: 1040: 127.0.0.1: GET /vendor/remarkable/remarkable.min.js
2022/8/21 11:22: 1040: 127.0.0.1: 200 OK
2022/8/21 11:22: 1080: 127.0.0.1: GET /jquery.min.js
2022/8/21 11:22: 1080: 127.0.0.1: 200 OK
2022/8/21 11:22: 800: 127.0.0.1: GET /static/layer/layer.js
2022/8/21 11:22: 800: 127.0.0.1: 200 OK
2022/8/21 11:22: 784: 127.0.0.1: GET /static/dplayer/DPlayer.min.js
2022/8/21 11:22: 784: 127.0.0.1: 200 OK
2022/8/21 11:22: 1112: 127.0.0.1: GET /client.js
2022/8/21 11:22: 1112: 127.0.0.1: 200 OK
2022/8/21 11:22: 828: 127.0.0.1: GET /static/pcm-recorder.js
2022/8/21 11:22: 828: 127.0.0.1: 200 OK
2022/8/21 11:22: 1040: 127.0.0.1: GET /static/pcm-player.js
2022/8/21 11:22: 1040: 127.0.0.1: 200 OK
2022/8/21 11:22: 1124: 127.0.0.1: GET /static/socket.io.js/socket.io.js
2022/8/21 11:22: 1124: 127.0.0.1: 200 OK
2022/8/21 11:22: 800: 127.0.0.1: GET /static/dist/recorder-core.js
2022/8/21 11:22: 800: 127.0.0.1: 200 OK
2022/8/21 11:22: 1016: 127.0.0.1: GET /static/dist/engine/mp3.js
2022/8/21 11:22: 1016: 127.0.0.1: 200 OK
2022/8/21 11:22: 1116: 127.0.0.1: GET /audio/notify.m4a
2022/8/21 11:22: 1116: 127.0.0.1: 200 OK
2022/8/21 11:22: 1148: 127.0.0.1: GET /static/layer/theme/default/layer.css?v=3.5.1
2022/8/21 11:22: 1148: 127.0.0.1: 200 OK
2022/8/21 11:22: 1160: 127.0.0.1: GET /e61d8459-ee9b-4e19-9875-cb6cfc7ec62a.woff
2022/8/21 11:22: 1160: 127.0.0.1: 200 OK
2022/8/21 11:22: 1168: 127.0.0.1: GET /favicon.ico
2022/8/21 11:22: 1168: 127.0.0.1: 200 OK
2022/8/21 11:22: 1172: 127.0.0.1: GET /?xq102210
2022/8/21 11:22: 1172: 127.0.0.1: 200 OK
